Generation,Diversity
0,0.002880277553972813
1,0.00463715655207959
2,0.005458388315392273
3,0.006242072619613133
4,0.00696471315313129
5,0.0074438526795968
6,0.007223412947665899
7,0.007341312240041551
8,0.007608349668042742
9,0.007569063043703715
10,0.007856888559121044
11,0.007902168753870554
12,0.008121134259831676
13,0.007949330501297591
14,0.00811871480714091
15,0.008110504876068647
16,0.007862226171675271
17,0.007758145729311178
18,0.007508049254681546
19,0.00774550656073653
20,0.007709744126275706
21,0.007799409009819902
22,0.007662206648045942
23,0.0074919741664864255
24,0.007670363138276599
25,0.007680952501706921
26,0.0077768711498440715
27,0.00772330875883126
28,0.0074020505251248415
29,0.007773476507107346
30,0.007812828325132463
31,0.007718147239484731
32,0.007739650842364062
33,0.007762789782255903
34,0.007711570481276636
35,0.0077542209552155005
36,0.008008672818620794
37,0.007946496367113157
38,0.007819046130777926
39,0.007916906422473592
40,0.007736432273172735
41,0.007706303175804717
42,0.0077944278190357095
43,0.007698533271571266
44,0.00783543781910049
45,0.0076881897106843835
46,0.007660767487937831
47,0.00782018491651545
48,0.007587944572497124
49,0.007589637491254238
50,0.007243058897400031
