Generation,Fitness
0,0.31037593209559877
1,0.5103307626750508
2,0.5928902114596775
3,0.5928902114596775
4,0.659907679438151
5,0.659907679438151
6,0.659907679438151
7,0.659907679438151
8,0.659907679438151
9,0.659907679438151
10,0.659907679438151
11,0.659907679438151
12,0.659907679438151
13,0.659907679438151
14,0.659907679438151
15,0.6673631560981185
16,0.709756287624806
17,0.8147186149165677
18,0.8147186149165677
19,0.8147186149165677
20,0.8147186149165677
21,0.8147186149165677
22,0.8147186149165677
23,0.8147186149165677
24,0.8147186149165677
25,0.8147186149165677
26,0.8147186149165677
27,0.8147186149165677
28,0.8147186149165677
29,0.8147186149165677
30,0.8147186149165677
31,0.8147186149165677
32,0.8147186149165677
33,0.8147186149165677
34,0.8147186149165677
35,0.8147186149165677
36,0.8147186149165677
37,0.8147186149165677
38,0.8147186149165677
39,0.8147186149165677
40,0.8147186149165677
41,0.8147186149165677
42,0.8147186149165677
43,0.8147186149165677
44,0.8147186149165677
45,0.8147186149165677
46,0.8147186149165677
47,0.8147186149165677
48,0.8147186149165677
49,0.8147186149165677
50,0.8147186149165677
